pid	DOB	status	status_date	sex
1	1944-04-11	dead	1983-10-15	F
2	1947-11-14	dead	1997-01-20	M
4	1941-11-22	dead	1983-12-23	M
5	1975-12-25	dead	1993-09-11	F
6	1986-11-02	dead	1999-07-04	M
7	1946-10-05	alive	2016-12-31	F
9	1962-03-10	dead	2014-04-01	F
10	1991-05-06	dead	2007-06-09	M
11	1943-08-18	dead	1995-11-04	F
12	1984-01-17	dead	2007-10-24	M
13	1981-01-10	dead	1981-04-28	F
14	1948-03-04	dead	2008-10-31	M
15	2004-12-22	dead	1971-10-19	F
16	2002-12-14	dead	1972-08-31	M
17	1976-08-27	dead	1972-06-25	F
18	1988-05-21	dead	1982-01-26	M
19	1946-03-09	dead	1997-05-25	F
20	2002-05-31	dead	1968-01-16	M
21	2007-03-01	dead	1996-12-23	F
22	1996-02-07	dead	2000-09-21	M
24	1946-02-17	alive	2016-12-31	M
25	1960-10-16	dead	1995-12-25	F
26	1998-09-04	dead	1989-04-21	M
27	1990-07-15	dead	1999-03-25	F
28	1945-07-03	dead	1995-04-16	M
29	1985-10-24	dead	1982-06-15	F
30	1976-06-08	dead	1965-01-15	M
31	1941-05-15	dead	2011-10-07	F
32	1994-12-25	dead	1962-10-28	M
33	1977-08-29	dead	2014-09-15	F
34	1942-01-10	dead	1975-01-29	M
35	1982-08-14	alive	2016-12-31	F
36	2008-05-17	alive	2016-12-31	M
37	1991-06-09	dead	1970-10-02	F
38	1985-12-21	dead	1981-08-20	M
39	1946-07-20	dead	1971-06-17	F
40	1942-07-11	dead	1970-10-18	M
41	1982-09-19	dead	1971-08-08	F
42	2006-08-08	dead	1971-10-16	M
43	1984-06-18	dead	2003-01-24	F
44	1976-08-11	dead	1980-06-29	M
45	2006-07-27	dead	1995-11-13	F
46	1999-10-02	dead	2002-11-29	M
47	1960-03-23	alive	2016-12-31	F
48	1951-11-13	alive	2016-12-31	M
49	1951-10-22	dead	1987-12-25	F
50	1969-06-06	dead	2006-10-14	M
51	1945-07-10	dead	1964-06-06	F
52	1998-05-06	dead	1997-11-15	M
53	1963-09-10	dead	1962-07-09	F
54	1959-12-14	alive	2016-12-31	M
55	1961-03-25	dead	1973-06-08	F
56	1978-10-29	dead	1982-07-03	M
57	1997-03-11	dead	2003-12-07	F
58	1975-07-02	alive	2016-12-31	M
59	1992-05-17	dead	1982-06-22	F
60	2007-08-19	dead	1998-08-18	M
61	1950-09-16	dead	2000-09-23	F
62	1956-07-06	dead	2003-08-12	M
63	2006-11-18	dead	1974-05-16	F
64	1992-10-18	dead	1965-09-23	M
65	2000-05-20	alive	2016-12-31	F
66	1967-03-15	alive	2016-12-31	M
67	1996-04-09	dead	1960-11-18	F
68	1970-04-02	dead	1993-01-24	M
69	1979-10-16	dead	1970-08-11	F
71	1975-09-07	dead	1999-11-19	F
72	1943-08-13	dead	1978-06-18	M
74	1978-11-04	dead	1993-06-02	M
75	2003-05-25	dead	2003-10-26	F
76	1996-11-05	dead	1974-04-24	M
77	1987-05-14	dead	1960-04-07	F
78	1951-07-16	dead	1998-08-03	M
79	1952-07-01	dead	2001-02-10	F
80	1966-10-01	dead	1965-08-09	M
82	1985-04-01	alive	2016-12-31	M
83	1976-05-27	dead	1976-04-19	F
84	1948-03-08	dead	1990-11-19	M
85	1966-06-14	dead	1990-02-15	F
86	1970-07-17	alive	2016-12-31	M
87	1999-11-19	alive	2016-12-31	F
88	1994-08-28	dead	1961-03-18	M
89	1993-07-24	alive	2016-12-31	F
90	1983-07-10	dead	2007-11-28	M
93	1966-05-31	dead	1989-07-03	F
94	1966-03-24	dead	1986-08-15	M
95	1985-10-22	dead	1994-07-17	F
96	2005-11-23	dead	1965-06-12	M
97	1953-12-30	dead	1999-03-04	F
99	1985-02-02	dead	1995-12-16	F
100	1973-05-11	dead	1976-03-29	M
101	1980-02-21	dead	2016-02-21	F
102	1971-12-12	dead	2016-04-19	M
103	1943-09-10	alive	2016-12-31	F
104	1975-11-06	dead	1984-05-05	M
105	1999-09-29	alive	2016-12-31	F
106	1988-12-14	dead	1982-05-21	M
107	1957-11-17	dead	1980-09-09	F
108	1940-09-26	alive	2016-12-31	M
109	1999-03-12	dead	1964-08-27	F
110	1989-03-26	dead	1961-03-24	M
112	1960-05-29	dead	1992-03-21	M
113	2008-06-20	dead	2014-08-04	F
114	2004-02-19	dead	1966-05-12	M
115	1946-02-09	dead	1968-09-10	F
116	1958-09-25	dead	1983-10-06	M
